Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Tipus_Propulsio,Nombre
2023,02,Eixample,05,el Fort Pienc,003,Elèctrica,5
2023,02,Eixample,05,el Fort Pienc,003,Hybride,33
2023,02,Eixample,05,el Fort Pienc,003,Autres,6
2023,02,Eixample,05,el Fort Pienc,004,Combustion Essence,391
2023,02,Eixample,05,el Fort Pienc,004,Combustion Diesel,171
2023,02,Eixample,05,el Fort Pienc,004,Elèctrica,6
2023,02,Eixample,05,el Fort Pienc,004,Hybride,44
2023,02,Eixample,05,el Fort Pienc,004,Autres,7
2023,02,Eixample,05,el Fort Pienc,005,Combustion Essence,659
2023,02,Eixample,05,el Fort Pienc,005,Combustion Diesel,274
2023,02,Eixample,05,el Fort Pienc,005,Elèctrica,10
2023,02,Eixample,05,el Fort Pienc,005,Hybride,76
2023,02,Eixample,05,el Fort Pienc,005,Autres,8
2023,02,Eixample,05,el Fort Pienc,006,Combustion Essence,511
2023,02,Eixample,05,el Fort Pienc,006,Combustion Diesel,200
2023,02,Eixample,05,el Fort Pienc,006,Elèctrica,2
2023,02,Eixample,05,el Fort Pienc,006,Hybride,35
2023,02,Eixample,05,el Fort Pienc,006,Autres,4
2023,02,Eixample,05,el Fort Pienc,007,Combustion Essence,395
2023,02,Eixample,05,el Fort Pienc,007,Combustion Diesel,133
2023,02,Eixample,05,el Fort Pienc,007,Elèctrica,4
2023,02,Eixample,05,el Fort Pienc,007,Hybride,30
2023,02,Eixample,05,el Fort Pienc,007,Autres,6
2023,02,Eixample,05,el Fort Pienc,008,Combustion Essence,644
2023,02,Eixample,05,el Fort Pienc,008,Combustion Diesel,228
2023,02,Eixample,05,el Fort Pienc,008,Elèctrica,5
2023,02,Eixample,05,el Fort Pienc,008,Hybride,49
2023,02,Eixample,05,el Fort Pienc,008,Autres,11
2023,02,Eixample,05,el Fort Pienc,009,Combustion Essence,541
2023,02,Eixample,05,el Fort Pienc,009,Combustion Diesel,236
2023,02,Eixample,05,el Fort Pienc,009,Elèctrica,3
2023,02,Eixample,05,el Fort Pienc,009,Hybride,33
2023,02,Eixample,05,el Fort Pienc,009,Autres,9
2023,02,Eixample,05,el Fort Pienc,010,Combustion Essence,374
2023,02,Eixample,05,el Fort Pienc,010,Combustion Diesel,154
2023,02,Eixample,05,el Fort Pienc,010,Elèctrica,2
2023,02,Eixample,05,el Fort Pienc,010,Hybride,37
2023,02,Eixample,05,el Fort Pienc,010,Autres,3
2023,02,Eixample,05,el Fort Pienc,011,Combustion Essence,346
2023,02,Eixample,05,el Fort Pienc,011,Combustion Diesel,140
2023,02,Eixample,05,el Fort Pienc,011,Elèctrica,6
2023,02,Eixample,05,el Fort Pienc,011,Hybride,35
2023,02,Eixample,05,el Fort Pienc,011,Autres,5
2023,02,Eixample,05,el Fort Pienc,012,Combustion Essence,491
2023,02,Eixample,05,el Fort Pienc,012,Combustion Diesel,174
2023,02,Eixample,05,el Fort Pienc,012,Elèctrica,2
2023,02,Eixample,05,el Fort Pienc,012,Hybride,25
2023,02,Eixample,05,el Fort Pienc,012,Autres,4
2023,02,Eixample,05,el Fort Pienc,013,Combustion Essence,359
2023,02,Eixample,05,el Fort Pienc,013,Combustion Diesel,235
2023,02,Eixample,05,el Fort Pienc,013,Elèctrica,3
2023,02,Eixample,05,el Fort Pienc,013,Hybride,20
2023,02,Eixample,05,el Fort Pienc,013,Autres,6
2023,02,Eixample,05,el Fort Pienc,014,Combustion Essence,322
2023,02,Eixample,05,el Fort Pienc,014,Combustion Diesel,142
2023,02,Eixample,05,el Fort Pienc,014,Elèctrica,5
2023,02,Eixample,05,el Fort Pienc,014,Hybride,35
2023,02,Eixample,05,el Fort Pienc,014,Autres,4
2023,02,Eixample,05,el Fort Pienc,015,Combustion Essence,429
2023,02,Eixample,05,el Fort Pienc,015,Combustion Diesel,180
2023,02,Eixample,05,el Fort Pienc,015,Elèctrica,5
2023,02,Eixample,05,el Fort Pienc,015,Hybride,32
2023,02,Eixample,05,el Fort Pienc,015,Autres,3
2023,02,Eixample,05,el Fort Pienc,016,Combustion Essence,547
2023,02,Eixample,05,el Fort Pienc,016,Combustion Diesel,175
2023,02,Eixample,05,el Fort Pienc,016,Elèctrica,8
2023,02,Eixample,05,el Fort Pienc,016,Hybride,54
2023,02,Eixample,05,el Fort Pienc,016,Autres,16
2023,02,Eixample,05,el Fort Pienc,017,Combustion Essence,619
2023,02,Eixample,05,el Fort Pienc,017,Combustion Diesel,215
2023,02,Eixample,05,el Fort Pienc,017,Elèctrica,11
2023,02,Eixample,05,el Fort Pienc,017,Hybride,64
2023,02,Eixample,05,el Fort Pienc,017,Autres,8
2023,02,Eixample,05,el Fort Pienc,018,Combustion Essence,562
2023,02,Eixample,05,el Fort Pienc,018,Combustion Diesel,248
2023,02,Eixample,05,el Fort Pienc,018,Elèctrica,8
2023,02,Eixample,05,el Fort Pienc,018,Hybride,55
2023,02,Eixample,05,el Fort Pienc,018,Autres,8
2023,02,Eixample,05,el Fort Pienc,019,Combustion Essence,581
2023,02,Eixample,05,el Fort Pienc,019,Combustion Diesel,281
2023,02,Eixample,05,el Fort Pienc,019,Elèctrica,10
2023,02,Eixample,05,el Fort Pienc,019,Hybride,54
2023,02,Eixample,05,el Fort Pienc,019,Autres,12
2023,02,Eixample,05,el Fort Pienc,020,Combustion Essence,430
2023,02,Eixample,05,el Fort Pienc,020,Combustion Diesel,154
2023,02,Eixample,05,el Fort Pienc,020,Elèctrica,7
2023,02,Eixample,05,el Fort Pienc,020,Hybride,44
2023,02,Eixample,05,el Fort Pienc,020,Autres,6
2023,02,Eixample,06,la Sagrada FamÃ­lia,021,Combustion Essence,424
2023,02,Eixample,06,la Sagrada FamÃ­lia,021,Combustion Diesel,175
2023,02,Eixample,06,la Sagrada FamÃ­lia,021,Elèctrica,6
2023,02,Eixample,06,la Sagrada FamÃ­lia,021,Hybride,33
2023,02,Eixample,06,la Sagrada FamÃ­lia,021,Autres,7
2023,02,Eixample,06,la Sagrada FamÃ­lia,022,Combustion Essence,341
2023,02,Eixample,06,la Sagrada FamÃ­lia,022,Combustion Diesel,183
2023,02,Eixample,06,la Sagrada FamÃ­lia,022,Elèctrica,23
2023,02,Eixample,06,la Sagrada FamÃ­lia,022,Hybride,23
2023,02,Eixample,06,la Sagrada FamÃ­lia,022,Autres,3
2023,02,Eixample,06,la Sagrada FamÃ­lia,023,Combustion Essence,322
2023,02,Eixample,06,la Sagrada FamÃ­lia,023,Combustion Diesel,118
2023,02,Eixample,06,la Sagrada FamÃ­lia,023,Elèctrica,5
2023,02,Eixample,06,la Sagrada FamÃ­lia,023,Hybride,39
